Model,MAE,RMSE,R2
Tuned Random Forest,196.74427946511895,667.6206225946156,0.24544112506203253
Random Forest,215.23161686886246,686.9167026921283,0.20119311800604178
Linear Regression,226.36183744342785,693.3421556795372,0.186179065230355
